accession_8k,ticker,filed_8k,period_of_report,fye_month,fy_xbrl,q_xbrl,fy_math,q_math,agreement,matched_accession_periodic,periodic_created,form_type_periodic,reason
0000016058-24-000072,CACI,2024-04-24T16:09:07-04:00,,6,,,,,,,,,not_same_event_periodic
0001104659-23-024317,CAKE,2023-02-22T16:30:41-05:00,2023-01-03,12,2023,Q4,2022,Q4,false,0001104659-23-026072,2023-02-27T17:01:33-05:00,10-K,xbrl_math_disagree
0001104659-24-026056,CAKE,2024-02-21T16:30:46-05:00,2024-01-02,12,2024,Q4,2023,Q4,false,0001104659-24-027565,2024-02-26T17:00:56-05:00,10-K,denylist
0000726958-23-000090,CASY,2023-09-11T16:18:42-04:00,,4,,,,,,,,,not_same_event_periodic
0000726958-23-000099,CASY,2023-12-11T16:22:02-05:00,,4,,,,,,,,,not_same_event_periodic
0000726958-24-000012,CASY,2024-03-11T16:37:15-04:00,,4,,,,,,,,,not_same_event_periodic
0000726958-25-000012,CASY,2025-03-11T16:31:18-04:00,,4,,,,,,,,,not_same_event_periodic
0000726958-25-000102,CASY,2025-09-08T16:29:19-04:00,,4,,,,,,,,,not_same_event_periodic
0000726958-25-000116,CASY,2025-12-09T16:34:19-05:00,,4,,,,,,,,,not_same_event_periodic
0000726958-26-000012,CASY,2026-03-09T16:36:02-04:00,,4,,,,,,,,,not_same_event_periodic
0001104659-26-023472,CBRL,2026-03-04T16:17:56-05:00,,7,,,,,,,,,not_same_event_periodic
0000950170-24-037412,CC,2024-03-27T18:09:11-04:00,,12,,,,,,,,,not_same_event_periodic
0000950170-24-050569,CC,2024-04-30T16:32:55-04:00,,12,,,,,,,,,not_same_event_periodic
0001666071-26-000008,CDLX,2026-03-04T16:05:19-05:00,,12,,,,,,,,,not_same_event_periodic
0001104659-26-043970,CDNA,2026-04-16T06:05:59-04:00,,12,,,,,,,,,not_same_event_periodic
0001364954-24-000066,CHGG,2024-06-17T16:36:38-04:00,,12,,,,,,,,,not_same_event_periodic
0001364954-25-000118,CHGG,2025-11-10T16:17:10-05:00,,12,,,,,,,,,not_same_event_periodic
0001364954-26-000009,CHGG,2026-02-09T16:06:33-05:00,,12,,,,,,,,,not_same_event_periodic
0001766502-23-000009,CHWY,2023-03-22T16:03:44-04:00,2023-01-29,1,2022,Q4,2023,Q4,false,0001766502-23-000011,2023-03-22T16:33:57-04:00,10-K,xbrl_math_disagree
0001766502-23-000025,CHWY,2023-05-31T16:03:44-04:00,2023-04-30,1,2023,Q1,2024,Q1,false,0001766502-23-000026,2023-05-31T16:31:24-04:00,10-Q,xbrl_math_disagree
0001766502-23-000036,CHWY,2023-08-30T16:04:34-04:00,2023-07-30,1,2023,Q2,2024,Q2,false,0001766502-23-000037,2023-08-30T16:29:00-04:00,10-Q,xbrl_math_disagree
0001766502-23-000042,CHWY,2023-12-06T16:04:19-05:00,2023-10-29,1,2023,Q3,2024,Q3,false,0001766502-23-000043,2023-12-06T16:29:07-05:00,10-Q,xbrl_math_disagree
0001766502-24-000012,CHWY,2024-03-20T16:05:09-04:00,2024-01-28,1,2023,Q4,2024,Q4,false,0001766502-24-000014,2024-03-20T16:33:31-04:00,10-K,xbrl_math_disagree
